"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1","A One News","TGTEL/25/A4902","08-12-2025","Telugu","Daily","Uduthala Ramesh","Uduthala Ramesh","Telangana","Rangareddy","View        registration details for A One News (TGTEL/25/A4902)"
"2","A S RAO NAGAR TIMES","TELBIL/2017/72628","14-07-2017","English, Telugu","Weekly","M. MEENALATHA SREENIVAS","M MEENALATHA SREENIVAS","Telangana","Hyderabad","View        registration details for A S RAO NAGAR TIMES (TELBIL/2017/72628)"
"3","A.K. SURYAVAMSHI SAMACHAR","APBIL/2006/18930","22-03-2007","Telugu, Hindi","Monthly","J. GANGADHAR","J. GANGADHAR","Telangana","Hyderabad","View        registration details for A.K. SURYAVAMSHI SAMACHAR (APBIL/2006/18930)"
"4","A.P.CABLE TIMES","APTEL/2000/03094","30-11-2000","Telugu","Monthly","KASIBHATLA GIRIDHAR","KASIBHATLA GIRIDHAR","Telangana","Hyderabad","View        registration details for A.P.CABLE TIMES (APTEL/2000/03094)"
"5","AADAAB SIDDIPET","TGTEL/26/A0789","27-01-2026","Telugu","Daily","VADLAKONDA SRINIVAS","VADLAKONDA SRINIVAS","Telangana","Siddipet","View        registration details for AADAAB SIDDIPET (TGTEL/26/A0789)"
"6","AADAB HINDUSTANI","TELTEL/2015/62051","21-05-2015","Telugu","Daily","GADDI DEVRAJ","GADDI DEVRAJ","Telangana","Hyderabad","View        registration details for AADAB HINDUSTANI (TELTEL/2015/62051)"
"7","AADAB HYDERABAD","TELTEL/2012/46785","04-12-2012","Telugu","Daily","VEERAMALLA SATYAM","VEERAMALLA SATYAM","Telangana","Rangareddy","View        registration details for AADAB HYDERABAD (TELTEL/2012/46785)"
"8","AADAB TELANGANA","TELURD/2014/57920","22-10-2014","Urdu","Daily","MOHAMMAD AZAM ALI","MOHAMMAD AZAM ALI","Telangana","Hyderabad","View        registration details for AADAB TELANGANA (TELURD/2014/57920)"
"9","AADARSHA BHARATHI","TELTEL/2013/51423","13-08-2013","Telugu","Daily","SYEDA ALIAH ISMATH","SYEDA ALIAH ISMATH","Telangana","Rangareddy","View        registration details for AADARSHA BHARATHI (TELTEL/2013/51423)"
"10","AADARSHA KIRANAM","TGTEL/26/A1706","18-03-2026","Telugu","Monthly","VANGALA BALARAJ GOUD","VANGALA BALARAJ GOUD","Telangana","Hyderabad","View        registration details for AADARSHA KIRANAM (TGTEL/26/A1706)"
"11","AADHAN TELUGU","TGTEL/25/A0989","04-06-2025","Telugu","Daily","PATAPATI PRABHAKAR VARMA RAJU","PATAPATI PRABHAKAR VARMA RAJU","Telangana","Hyderabad","View        registration details for AADHAN TELUGU (TGTEL/25/A0989)"
"12","AADI BHARAT","TELBIL/2016/74130","11-12-2017","English, HINDI","Weekly","BHUPAL VALMIKI","BHUPAL VALMIKI","Telangana","Hyderabad","View        registration details for AADI BHARAT (TELBIL/2016/74130)"
